time,N,dead,CTL,con,tumrad,deaths
0,180,0,0,0,11.8743,0
0.000694444,180,0,0,0,11.8743,0
0.00138889,180,0,0,0,11.8743,0
0.00208333,180,0,0,0,11.8743,0
0.00277778,180,0,0,0,11.8743,0
0.00347222,180,0,0,0,11.8743,0
0.00416667,180,0,0,0,11.8743,0
0.00486111,180,0,0,0,11.8743,0
0.00555556,180,0,0,0,11.8743,0
0.00625,180,0,0,0,11.8743,0
0.00694444,180,0,0,0,11.8743,0
0.00763889,180,0,0,0,11.8743,0
0.00833333,181,0,0,0,11.8743,0
0.00902778,181,0,0,0,11.8743,0
0.00972222,181,0,0,0,11.8743,0
0.0104167,182,0,0,0,11.8743,0
0.0111111,183,0,0,0,11.8743,0
0.0118056,183,0,0,0,11.8743,0
0.0125,183,0,0,0,11.8743,0
0.0131944,183,0,0,0,11.8743,0
0.0138889,183,0,0,0,11.8743,0
0.0145833,183,0,0,0,11.8743,0
0.0152778,183,0,0,0,11.8743,0
0.0159722,183,0,0,0,11.8743,0
0.0166667,183,0,0,0,11.8743,0
0.0173611,183,0,0,0,11.8743,0
0.0180556,184,0,0,0,11.8743,0
0.01875,184,0,0,0,11.8743,0
0.0194444,184,0,0,0,11.8743,0
0.0201389,184,0,0,0,11.8743,0
0.0208333,184,0,0,0,11.8743,0
0.0215278,184,0,0,0,11.8743,0
0.0222222,184,0,0,0,11.8743,0
0.0229167,184,0,0,0,11.8743,0
0.0236111,184,0,0,0,11.8743,0
0.0243056,185,0,0,0,11.8743,0
0.025,185,0,0,0,11.8743,0
0.0256944,185,0,0,0,11.8743,0
0.0263889,185,0,0,0,11.8743,0
0.0270833,185,0,0,0,11.8743,0
0.0277778,185,0,0,0,11.8743,0
0.0284722,185,0,0,0,11.8743,0
0.0291667,185,0,0,0,11.8743,0
0.0298611,185,0,0,0,11.8743,0
0.0305556,185,0,0,0,11.8743,0
0.03125,185,0,0,0,11.8743,0
0.0319444,185,0,0,0,11.8743,0
0.0326389,185,0,0,0,11.8743,0
0.0333333,186,0,0,0,11.8743,0
0.0340278,187,0,0,0,11.8743,0
0.0347222,187,0,0,0,11.8743,0
0.0354167,187,0,0,0,11.8743,0
0.0361111,187,0,0,0,11.8743,0
0.0368056,187,0,0,0,11.8743,0
0.0375,187,0,0,0,11.8743,0
0.0381945,187,0,0,0,11.8743,0
0.0388889,187,0,0,0,11.8743,0
0.0395834,188,0,0,0,11.8743,0
0.0402778,188,0,0,0,11.8743,0
0.0409722,188,0,0,0,11.8743,0
0.0416667,188,0,0,0,11.8743,0
0.0423611,189,0,0,0,11.8743,0
0.0430556,190,0,0,0,11.8743,0
0.04375,190,0,0,0,11.8743,0
0.0444445,190,0,0,0,11.8743,0
0.0451389,191,0,0,0,11.8743,0
0.0458334,191,0,0,0,11.8743,0
0.0465278,191,0,0,0,11.8743,0
0.0472223,191,0,0,0,11.8743,0
0.0479167,191,0,0,0,11.8743,0
0.0486112,191,0,0,0,11.8743,0
0.0493056,191,0,0,0,11.8743,0
0.05,191,0,0,0,11.8743,0
0.0506945,191,0,0,0,11.8743,0
0.0513889,191,0,0,0,11.8743,0
0.0520834,192,0,0,0,11.8743,0
0.0527778,192,0,0,0,11.8743,0
0.0534723,192,0,0,0,11.8743,0
0.0541667,193,0,0,0,11.8743,0
0.0548612,193,0,0,0,11.8743,0
0.0555556,194,0,0,0,11.8743,0
0.0562501,194,0,0,0,11.8743,0
0.0569445,194,0,0,0,11.8743,0
0.057639,195,0,0,0,11.8743,0
0.0583334,196,0,0,0,11.8743,0
0.0590279,196,0,0,0,11.8743,0
0.0597223,196,0,0,0,11.8743,0
0.0604167,196,0,0,0,11.8743,0
0.0611112,196,0,0,0,11.8743,0
0.0618056,196,0,0,0,11.8743,0
0.0625001,196,0,0,0,11.8743,0
0.0631945,196,0,0,0,11.8743,0
0.063889,197,0,0,0,11.8743,0
0.0645834,197,0,0,0,11.8743,0
0.0652779,197,0,0,0,11.8743,0
0.0659723,198,0,0,0,11.8743,0
0.0666668,199,0,0,0,11.8743,0
0.0673612,199,0,0,0,11.8743,0
0.0680557,200,0,0,0,11.8743,0
0.0687501,200,0,0,0,11.8743,0
0.0694445,200,0,0,0,11.8743,0
0.070139,200,0,0,0,11.8743,0
0.0708334,201,0,0,0,11.8743,0
0.0715279,201,0,0,0,11.8743,0
0.0722223,201,0,0,0,11.8743,0
